ProductId,Date,Quantity
73,2017-05-05,7.4999999995
73,2017-05-06,14.9999999992
73,2017-05-07,8.9999999995
73,2017-05-08,1.4999999999
73,2017-05-09,13.4999999993
73,2017-05-11,22.4999999987
73,2017-05-12,14.9999999991
73,2017-05-13,1.4999999999
73,2017-05-14,11.9999999994
73,2017-05-15,5.9999999997
73,2017-05-16,20.9999999989
73,2017-05-17,7.4999999996
73,2017-05-18,23.9999999987
73,2017-05-19,8.9999999994
73,2017-05-20,2.9999999998
73,2017-05-21,37.4999999981
73,2017-05-22,4.4999999997
73,2017-05-23,35.9999999982
73,2017-05-24,7.4999999995
73,2017-05-25,14.9999999991
73,2017-05-26,11.9999999993
73,2017-05-27,2.9999999998
73,2017-05-28,17.9999999991
73,2017-05-29,1.4999999999
73,2017-05-30,20.9999999989
73,2017-05-31,4.4999999997
73,2017-06-01,20.9999999988
73,2017-06-02,19.4999999988
73,2017-06-03,1.4999999999
73,2017-06-04,19.499999999
73,2017-06-05,5.9999999997
73,2017-06-06,19.499999999
73,2017-06-07,10.4999999994
73,2017-06-08,23.9999999987
73,2017-06-09,26.9999999985
73,2017-06-10,1.4999999999
73,2017-06-11,16.4999999991
73,2017-06-12,5.9999999997
73,2017-06-13,17.9999999991
73,2017-06-14,7.4999999995
73,2017-06-15,20.9999999989
73,2017-06-16,13.4999999992
73,2017-06-17,1.4999999999
73,2017-06-18,20.9999999989
73,2017-06-19,4.4999999997
73,2017-06-20,23.9999999988
73,2017-06-21,7.4999999995
73,2017-06-22,46.4999999976
73,2017-06-23,29.9999999984
73,2017-06-24,4.4999999997
73,2017-06-25,34.4999999982
73,2017-06-26,1.4999999999
73,2017-06-27,14.9999999992
73,2017-06-28,8.9999999995
73,2017-06-29,22.4999999987
73,2017-06-30,25.4999999986
73,2017-07-01,2.9999999998
73,2017-07-02,29.9999999985
73,2017-07-03,8.9999999995
73,2017-07-04,11.9999999994
73,2017-07-05,4.4999999997
73,2017-07-06,32.9999999982
73,2017-07-07,13.4999999993
73,2017-07-08,5.9999999997
73,2017-07-09,25.4999999987
73,2017-07-10,146.9999999925
73,2017-07-11,23.9999999988
73,2017-07-12,10.4999999994
73,2017-07-13,65.9999999964
73,2017-07-14,16.4999999991
73,2017-07-15,1.4999999999
73,2017-07-16,17.9999999991
73,2017-07-17,14.9999999991
73,2017-07-18,7.4999999996
73,2017-07-19,8.9999999995
73,2017-07-20,37.499999998
73,2017-07-21,16.4999999991
73,2017-07-22,2.9999999998
73,2017-07-23,32.9999999983
73,2017-07-24,29.9999999984
73,2017-07-25,17.9999999991
73,2017-07-26,10.4999999994
73,2017-07-27,37.499999998
73,2017-07-28,29.9999999983
73,2017-07-29,2.9999999998
73,2017-07-30,29.9999999985
73,2017-07-31,19.4999999989
73,2017-08-01,14.9999999992
75,2017-04-03,9.0000000009
75,2017-04-04,54.0000000054
75,2017-04-05,12.0000000012
75,2017-04-06,27.0000000027
75,2017-04-07,45.0000000045
75,2017-04-08,3.0000000003
75,2017-04-09,60.000000006
75,2017-04-10,9.0000000009
75,2017-04-11,84.0000000084
75,2017-04-12,21.0000000021
75,2017-04-13,90.000000009
75,2017-04-14,15.0000000015
75,2017-04-15,24.0000000024
75,2017-04-16,42.0000000042
75,2017-04-17,9.0000000009
75,2017-04-18,69.0000000069
75,2017-04-19,27.0000000027
75,2017-04-20,78.0000000078
75,2017-04-21,24.0000000024
75,2017-04-22,27.0000000027
75,2017-04-23,45.0000000045
75,2017-04-24,3.0000000003
75,2017-04-25,69.0000000069
75,2017-04-26,12.0000000012
75,2017-04-27,78.0000000078
75,2017-04-28,60.000000006
75,2017-04-29,21.0000000021
75,2017-04-30,96.0000000096
75,2017-05-01,6.0000000006
75,2017-05-02,66.0000000066
75,2017-05-03,9.0000000009
75,2017-05-04,48.0000000048
75,2017-05-05,18.0000000018
75,2017-05-06,48.0000000048
75,2017-05-07,30.000000003
75,2017-05-08,3.0000000003
75,2017-05-09,36.0000000036
75,2017-05-10,18.0000000018
75,2017-05-11,57.0000000057
75,2017-05-12,48.0000000048
75,2017-05-13,6.0000000006
75,2017-05-14,9.0000000009
75,2017-05-15,12.0000000012
75,2017-05-16,66.0000000066
75,2017-05-18,66.0000000066
75,2017-05-19,18.0000000018
75,2017-05-20,12.0000000012
75,2017-05-21,18.0000000018
75,2017-05-22,6.0000000006
75,2017-05-23,33.0000000033
75,2017-05-24,3.0000000003
75,2017-05-25,36.0000000036
75,2017-05-26,30.000000003
75,2017-05-27,3.0000000003
75,2017-05-28,30.000000003
75,2017-05-29,3.0000000003
75,2017-05-30,21.0000000021
75,2017-05-31,12.0000000012
75,2017-06-01,42.0000000042
75,2017-06-02,36.0000000036
75,2017-06-03,9.0000000009
75,2017-06-04,9.0000000009
75,2017-06-05,6.0000000006
75,2017-06-06,36.0000000036
75,2017-06-07,27.0000000027
75,2017-06-08,21.0000000021
75,2017-06-09,30.000000003
75,2017-06-11,96.0000000096
75,2017-06-12,12.0000000012
75,2017-06-13,66.0000000066
75,2017-06-14,18.0000000018
75,2017-06-15,42.0000000042
75,2017-06-16,36.0000000036
75,2017-06-18,12.0000000012
75,2017-06-19,15.0000000015
75,2017-06-20,60.000000006
75,2017-06-21,18.0000000018
75,2017-06-22,81.0000000081
75,2017-06-23,60.000000006
75,2017-06-24,3.0000000003
75,2017-06-25,60.000000006
75,2017-06-26,12.0000000012
75,2017-06-27,120.000000012
75,2017-06-28,363.0000000363
75,2017-06-29,66.0000000066
75,2017-06-30,750.000000075
75,2017-07-01,270.000000027
75,2017-07-02,27.0000000027
75,2017-07-03,15.0000000015
75,2017-07-04,33.0000000033
75,2017-07-05,12.0000000012
75,2017-07-06,2286.0000002286
75,2017-07-07,228.0000000228
75,2017-07-08,36.0000000036
75,2017-07-09,360.000000036
75,2017-07-10,1803.0000001803
75,2017-07-11,6.0000000006
75,2017-07-12,15.0000000015
75,2017-07-13,96.0000000096
75,2017-07-14,18.0000000018
75,2017-07-16,15.0000000015
75,2017-07-17,54.0000000054
75,2017-07-18,39.0000000039
75,2017-07-19,9.0000000009
75,2017-07-20,192.0000000192
75,2017-07-21,60.000000006
75,2017-07-22,6.0000000006
75,2017-07-23,27.0000000027
75,2017-07-24,96.0000000096
75,2017-07-25,27.0000000027
75,2017-07-26,30.000000003
75,2017-07-27,102.0000000102
75,2017-07-28,57.0000000057
75,2017-07-29,3.0000000003
75,2017-07-30,27.0000000027
75,2017-07-31,48.0000000048
75,2017-08-01,24.0000000024
88,2017-04-03,41.6
88,2017-04-05,32.0
88,2017-04-06,3.2
88,2017-04-07,41.6
88,2017-04-10,35.2
88,2017-04-12,44.8
88,2017-04-13,6.4
88,2017-04-14,25.6
88,2017-04-17,22.4
88,2017-04-19,35.2
88,2017-04-20,6.4
88,2017-04-21,41.6
88,2017-04-22,6.4
